recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Thomasina Miers' groene rijst,455.0,80.0,0.0,595.0,8.0,11.0,2.0,2.0
Thomasina Miers' rode rijst,290.0,51.0,0.0,620.0,6.0,6.0,1.0,3.0
"Tian met aubergine, courgette en tomaat",280.0,12.0,0.0,200.0,4.0,23.0,3.0,5.0
Tilapiafilet met paprikastoof,495.0,44.0,0.0,680.0,25.0,23.0,10.0,7.0
Tinto de verano,150.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
Tiramisu,480.0,44.0,36.0,80.0,9.0,29.0,19.0,1.0
Tiramisu met kersen,815.0,69.0,0.0,90.0,10.0,52.0,31.0,4.0
Tiramisu met zomerfruit en hazelnoot,435.0,42.0,0.0,40.0,5.0,27.0,17.0,1.0
Tiramisu zonder alcohol,515.0,46.0,35.0,80.0,10.0,32.0,20.0,2.0
Tjap tjoy kip,335.0,19.0,13.0,1200.0,24.0,17.0,2.0,5.0
Toad in the hole,410.0,21.0,0.0,0.0,22.0,26.0,0.0,0.0
Toast met citroenricotta en komkommer,350.0,31.0,5.0,360.0,14.0,18.0,7.0,5.0
Toast met gerookte zalm,505.0,29.0,0.0,705.0,31.0,28.0,11.0,7.0
Toast met lentegroenten en gepocheerd ei,395.0,39.0,0.0,410.0,14.0,20.0,3.0,3.0
"Toast met ricotta, boontjes en dille (dilly beans)",540.0,45.0,6.0,800.0,19.0,30.0,9.0,6.0
Toast met truffelboter en hazelnoot,85.0,4.0,0.0,1.0,1.0,7.0,3.0,1.0
Tofu-sandwich met babyromaine,485.0,34.0,0.0,760.0,21.0,28.0,4.0,6.0
Tom Collins,140.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom kha kai,305.0,11.0,5.0,800.0,22.0,19.0,17.0,2.0
Tom yam goong,140.0,7.0,3.0,320.0,9.0,8.0,1.0,2.0
Tom yam met oesterzwam,170.0,20.0,0.0,0.0,10.0,5.0,0.0,0.0
Tomaat-broodsoep met basilicum (pappa al pomodoro),355.0,37.0,9.0,440.0,12.0,16.0,3.0,8.0
Tomaat-kaastosti,280.0,36.0,0.0,0.0,15.0,7.0,0.0,0.0
Tomaat-komkommer-venkelsap,90.0,18.0,0.0,30.0,2.0,1.0,0.0,1.0
Tomaat-krielsalade,265.0,31.0,0.0,0.0,5.0,12.0,0.0,0.0
Tomahawk&nbsp;van de bbq met baharat en&nbsp;geroosterde-auberginesaus ,465.0,7.0,7.0,360.0,49.0,26.0,7.0,5.0
Tomaten-crèmesoep,345.0,9.0,0.0,140.0,5.0,31.0,10.0,2.0
Tomaten-groentesoep,200.0,23.0,0.0,1695.0,6.0,7.0,1.0,11.0
Tomaten-mascarponesaus,395.0,8.0,0.0,580.0,6.0,38.0,19.0,1.0
Tomaten-paprikasoep met balletjes,385.0,16.0,0.0,880.0,15.0,28.0,12.0,5.0
Tomatenchutney,125.0,27.0,0.0,80.0,1.0,1.0,0.0,3.0
Tomatencrèmesoep,415.0,9.0,0.0,249.0,5.0,39.0,12.0,2.0
Tomatencrèmesoep met bladerdeegsterren,340.0,16.0,7.0,360.0,5.0,28.0,14.0,2.0
Tomatenpilav met kruidige kip,545.0,62.0,0.0,594.0,29.0,19.0,3.0,5.0
Tomatenrisotto met basilicum uit de oven,665.0,75.0,11.0,1080.0,18.0,31.0,13.0,8.0
Tomatenrisotto met garnalen,645.0,70.0,0.0,1640.0,28.0,26.0,6.0,6.0
"Tomatenrisotto met gegrilde tomaatjes, amandelen &amp; basilicum",560.0,68.0,0.0,480.0,17.0,23.0,7.0,6.0
Tomatensalade met halloumi en korianderzaad,355.0,8.0,7.0,800.0,15.0,29.0,12.0,2.0
Tomatensalade met lamsworstjes,535.0,40.0,0.0,870.0,20.0,32.0,9.0,4.0
Tomatensalade met walnoot,215.0,11.0,0.0,270.0,3.0,17.0,2.0,3.0
Tomatensalsa met komkommer en jalapeño,65.0,11.0,11.0,80.0,1.0,1.0,0.0,3.0
Tomatensalsa van geraspte rauwe tomaten,80.0,3.0,0.0,200.0,1.0,7.0,1.0,1.0
Tomatensaus,125.0,8.0,0.0,0.0,2.0,9.0,0.0,0.0
Tomatensoep,235.0,16.0,11.0,1400.0,11.0,13.0,3.0,5.0
Tomatensoep in een weckpot,360.0,24.0,0.0,1055.0,25.0,15.0,7.0,15.0
Tomatensoep met basilicum,130.0,9.0,0.0,760.0,2.0,9.0,1.0,3.0
"Tomatentartaar met avocado, mango en gerookte kipfilet",310.0,17.0,16.0,320.0,10.0,21.0,3.0,5.0
Tomatentatin,740.0,50.0,0.0,0.0,24.0,48.0,0.0,0.0
Tomatentulpjes,40.0,2.0,0.0,40.0,1.0,3.0,2.0,1.0
Tomatenvinaigrette,50.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
Tompouce van avocadomousse en gerookte zalm,330.0,15.0,3.0,480.0,8.0,26.0,10.0,3.0
Tompouce van kabeljauw,320.0,1.0,0.0,810.0,19.0,24.0,7.0,0.0
Tong met gebruinde boter &amp; haricots verts ,540.0,25.0,0.0,335.0,21.0,38.0,22.0,6.0
Tonijn-broccoliquiche met tomaatjes en oude kaas,720.0,36.0,0.0,880.0,40.0,45.0,24.0,6.0
Tonijnciabatta uit de oven,600.0,69.0,0.0,1228.0,37.0,18.0,6.0,7.0
Tonijnfrittata met sperziebonensalade,500.0,13.0,0.0,600.0,35.0,32.0,9.0,10.0
Tonijnharcha (tonijngriesmeelkoek) van Kookmutsjes,695.0,86.0,9.0,1360.0,25.0,26.0,7.0,9.0
Tonijnlasagne met groene groenten en selderij-ricottasaus,695.0,72.0,0.0,480.0,35.0,28.0,17.0,8.0
Tonijnpizzapuntjes,200.0,11.0,0.0,632.0,13.0,11.0,4.0,2.0
"Tonijnsandwich met avocado, komkommer &amp; munt",525.0,36.0,0.0,800.0,32.0,27.0,5.0,5.0
Tonijnsandwich met bietensalade,705.0,56.0,0.0,1150.0,34.0,36.0,9.0,11.0
Tonijnsandwich met guacamole en maissalade,810.0,82.0,0.0,1180.0,32.0,37.0,12.0,12.0
Tonijnsteaks Hawaï met ananassalsa,240.0,22.0,0.0,320.0,32.0,2.0,0.0,2.0
Tonny's fried chicken (by Pass the Peas),375.0,23.0,0.0,880.0,30.0,18.0,5.0,1.0
Tony Kitous &amp; Dan Lepard's baba ghanoush,215.0,8.0,0.0,250.0,7.0,16.0,2.0,6.0
Tony Kitous &amp; Dan Lepard's bulgursalade met erwten en munt,235.0,45.0,0.0,95.0,6.0,3.0,0.0,3.0
Tony Kitous &amp; Dan Lepard's gesmolten geitenkaas met sesamzaadkorst,520.0,29.0,0.0,710.0,23.0,34.0,14.0,2.0
Tortellini met balletjes en tomatensaus,825.0,77.0,12.0,1680.0,37.0,39.0,15.0,7.0
Tortellini met spinazie en venkel,405.0,42.0,0.0,380.0,20.0,16.0,8.0,6.0
Tortelloni met blauwe kaas &amp; gemengde paddenstoelen,575.0,49.0,6.0,840.0,22.0,31.0,14.0,4.0
Tortelloni met ham en pesto,845.0,69.0,0.0,1200.0,31.0,48.0,19.0,9.0
Tortelloni met venkel en sardines,640.0,50.0,0.0,360.0,23.0,37.0,8.0,8.0
Tortelloni met verse kruiden en Parmezaan,270.0,22.0,0.0,360.0,9.0,16.0,6.0,1.0
"Tortilla's met avocado, kikkererwten en peper",775.0,52.0,0.0,870.0,21.0,51.0,12.0,11.0
Tortilla's met garnalen,490.0,66.0,0.0,1530.0,26.0,12.0,1.0,6.0
Tortilla's met tonijnsalade,810.0,87.0,0.0,1490.0,34.0,33.0,5.0,11.0
"Tortilla's met varkensvlees, kool en ananas",815.0,74.0,0.0,560.0,39.0,39.0,9.0,7.0
"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",875.0,76.0,14.0,800.0,20.0,52.0,6.0,12.0
"Tortilla's met zwarte bonen, ei en chorizo",985.0,68.0,0.0,1120.0,42.0,57.0,16.0,17.0
Tortillacracker met pompoen,75.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0
Tortillafeest,790.0,97.0,16.0,800.0,49.0,17.0,3.0,27.0
Tortillapizza met mini-mozzarella,290.0,33.0,0.0,360.0,14.0,10.0,5.0,5.0
Tortillapizza's,900.0,60.0,0.0,615.0,22.0,61.0,10.0,12.0
Tortillapizza's met chorizo &amp; avocado,635.0,40.0,0.0,1155.0,20.0,43.0,18.0,4.0
Tortillataart,960.0,68.0,17.0,1280.0,38.0,26.0,10.0,15.0
Tortillataart met kidneybonen chili,565.0,46.0,10.0,880.0,23.0,29.0,10.0,12.0
Tortillawrap met kip en ijsbergsla,585.0,75.0,0.0,940.0,26.0,19.0,3.0,6.0
Tortilla’s met pulled oats en bonen-avocadosalade,560.0,50.0,10.0,520.0,25.0,26.0,3.0,14.0
Toscaanse stoofpot,325.0,12.0,0.0,0.0,28.0,18.0,0.0,0.0
"Tostada's met avocado, ei &amp; limoen-tomatensalsa",875.0,81.0,18.0,1120.0,25.0,48.0,9.0,10.0
Tostada's met mais-kidneybonensalade,650.0,52.0,0.0,1160.0,30.0,33.0,8.0,10.0
Tostada's met pulled chicken &amp; mangosalsa,755.0,61.0,0.0,480.0,38.0,37.0,5.0,14.0
"Tostada’s met kip, crispy mais en zwarte bonen",530.0,70.0,15.0,1200.0,26.0,14.0,3.0,9.0
Tosti geitenkaas-honingraat,410.0,40.0,0.0,445.0,11.0,22.0,9.0,4.0
Tosti geitenkaas-tomaat met bietjessalade,510.0,39.0,0.0,800.0,21.0,28.0,8.0,8.0
Tosti kapsalon van Leonie ter Veld,425.0,34.0,0.0,880.0,5.0,20.0,9.0,4.0
Tosti makreel-avocado,580.0,30.0,0.0,665.0,22.0,40.0,14.0,5.0
Tosti met gebakken champignons &amp; mozzarella,360.0,32.0,3.0,440.0,21.0,16.0,10.0,5.0
"Tosti met katenspek, geitenkaas en pruimen",555.0,38.0,0.0,945.0,26.0,33.0,20.0,3.0
"Tosti roomkaas met spinazie, avocado en kalkoen",620.0,37.0,3.0,800.0,22.0,42.0,24.0,4.0
Tosti tonijn met tomaat en rucola,415.0,29.0,5.0,640.0,24.0,21.0,7.0,5.0
Tosti-geitenkaas met tomaat en rucola,365.0,28.0,3.0,440.0,13.0,21.0,7.0,5.0
Tosties met roze zalm &amp; coleslaw,680.0,65.0,0.0,785.0,33.0,29.0,10.0,9.0
Toum (Libanese knoflooksaus),460.0,2.0,0.0,135.0,1.0,50.0,7.0,0.0
Traditionele rosbief,170.0,0.0,0.0,180.0,29.0,6.0,2.0,0.0
Tramezzini met zalm,440.0,39.0,3.0,720.0,16.0,24.0,3.0,1.0
Trapani rigatoni met pancetta,490.0,58.0,0.0,465.0,21.0,19.0,5.0,4.0
Traybake harissakip,545.0,59.0,0.0,720.0,24.0,21.0,4.0,11.0
"Traybake kip met gnocchi, courgette en pesto",525.0,52.0,0.0,680.0,41.0,16.0,3.0,4.0
Traybake kip tandoori met kikkererwten en tomaat,445.0,34.0,9.0,720.0,32.0,17.0,7.0,14.0
"Traybake met bonen, kip, tomaatjes en broccoli",400.0,19.0,4.0,120.0,34.0,18.0,4.0,14.0
"Traybake met braadworst, broccoli en ras el hanout",575.0,45.0,7.0,560.0,29.0,29.0,9.0,10.0
"Traybake met feta, tomaat, asperges en olijven",440.0,29.0,7.0,1160.0,19.0,25.0,10.0,11.0
"Traybake met gehaktballetjes, groentefriet en gremolata ",610.0,26.0,0.0,940.0,26.0,41.0,11.0,16.0
Traybake met gnocchi en chipolataworstjes,620.0,74.0,9.0,1240.0,23.0,23.0,8.0,13.0
"Traybake met gnocchi, feta en snoeptomaat",705.0,77.0,10.0,1160.0,19.0,34.0,12.0,7.0
"Traybake met kikkererwten, gnocchi &amp; aubergine",490.0,81.0,28.0,1160.0,13.0,10.0,1.0,12.0
"Traybake met kikkererwten, kipgehaktballetjes en garam masala",456.0,40.0,8.0,440.0,22.0,21.0,5.0,12.0
Traybake met kip en mosterd,415.0,35.0,10.0,480.0,26.0,17.0,4.0,8.0
"Traybake met kippendij, sinaasappelglaze en brocccoli",670.0,62.0,14.0,600.0,29.0,31.0,6.0,10.0
"Traybake met kriel, paprika &amp; Catalaanse worstjes",510.0,50.0,0.0,280.0,20.0,24.0,7.0,7.0
Traybake met mandarijn en kip,460.0,36.0,16.0,200.0,29.0,19.0,4.0,14.0
"Traybake met ovengroente, tomaat en ricotta",410.0,42.0,15.0,200.0,11.0,20.0,7.0,10.0
Traybake met vegetarische balletjes en ovengroenten,655.0,83.0,9.0,840.0,26.0,20.0,3.0,18.0
"Traybake met winterpeen, krieltjes en worst",459.0,37.0,9.0,560.0,19.0,28.0,10.0,10.0
"Traybake met zalm, aardappel en rode ui",510.0,50.0,11.0,80.0,22.0,23.0,4.0,8.0
Traybake van drumsticks en krieltjes,640.0,63.0,18.0,640.0,28.0,29.0,5.0,7.0
Traybake van geroosterde paprika en kipdijfilet,375.0,14.0,12.0,800.0,21.0,25.0,5.0,6.0
"Traybake van kabeljauw, groene asperges en gepofte aardappel",560.0,28.0,8.0,200.0,33.0,34.0,11.0,5.0
"Traybake van karbonade, kriel en groene asperges",650.0,34.0,4.0,640.0,40.0,37.0,10.0,10.0
Traybake van kip met broccoli en zoete aardappel,605.0,66.0,13.0,520.0,27.0,23.0,5.0,13.0
"Traybake van kip, paprika, zwarte bonen en chipotle",500.0,29.0,9.0,600.0,30.0,27.0,10.0,11.0
"Traybake van kipdrumsticks, krieltjes en bloemkool",600.0,52.0,9.0,320.0,42.0,23.0,6.0,9.0
Traybake van orzo met gehaktballetjes in tomatensaus,600.0,57.0,12.0,1400.0,39.0,22.0,12.0,8.0
"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",385.0,36.0,21.0,480.0,26.0,12.0,3.0,15.0
"Traybake van zoete aardappel, kikkererwten en knapperige halloumi",900.0,61.0,13.0,2040.0,39.0,52.0,23.0,15.0
"Traybake van zoete aardappel, kip en courgette",665.0,70.0,24.0,920.0,33.0,26.0,6.0,10.0
"Trifle met meringue, mango en passievrucht",395.0,33.0,0.0,70.0,5.0,26.0,17.0,3.0
Tropische yoghurtsmoothieswirl,135.0,19.0,0.0,85.0,12.0,0.0,0.0,2.0
Trostomaat en courgette,215.0,12.0,0.0,190.0,11.0,13.0,5.0,2.0
"Trottole met rivierkreeft, venkel en citroen",515.0,64.0,0.0,350.0,20.0,16.0,7.0,6.0
Truffel risotto met spinazie en gekookt ei,695.0,68.0,0.0,1480.0,27.0,34.0,20.0,5.0
Truffel-eiersalade met avocado,180.0,1.0,0.0,120.0,7.0,16.0,3.0,1.0
Truffelfrietjes met Parmezaan,350.0,41.0,1.0,160.0,9.0,16.0,8.0,4.0
"Truffelgnocchi met haricots verts, ei en fricandeau",460.0,49.0,0.0,695.0,20.0,19.0,4.0,6.0
"Truffelgratins met champignons, cherrytomaten &amp; gegrilde varkenshaas",610.0,20.0,5.0,600.0,38.0,41.0,19.0,5.0
"Truffels van rauwe cacao, cranberry en pecannoten",65.0,9.0,0.0,1.0,1.0,3.0,1.0,0.0
"Truffels van rauwe cacao, goji bessen en amandelen",315.0,33.0,0.0,20.0,5.0,18.0,9.0,5.0
Tsjechische varkenslapjes,390.0,41.0,0.0,0.0,27.0,12.0,0.0,0.0
Tuiles met pistache,80.0,7.0,6.0,0.0,1.0,5.0,3.0,0.0
Tuinbonenburger,785.0,110.0,0.0,930.0,27.0,23.0,4.0,14.0
Tuinbonensalade met witte kaasblokjes,335.0,18.0,0.0,0.0,15.0,20.0,0.0,0.0
Tuinerwten-muntpuree met kabeljauw en chorizo,395.0,16.0,0.0,495.0,27.0,23.0,6.0,7.0
Tuinerwtensoep,280.0,31.0,0.0,1145.0,26.0,4.0,2.0,9.0
Tuinerwtensoep met chorizo-olie,255.0,13.0,0.0,450.0,7.0,18.0,3.0,7.0
Tuinerwtensoep met geroosterde cherrytomaten,445.0,46.0,0.0,880.0,11.0,22.0,11.0,10.0
Tuinerwtensoep met kokos,280.0,13.0,0.0,220.0,11.0,18.0,14.0,10.0
Tuinkruidensalade met crispy knoflook,255.0,13.0,2.0,200.0,7.0,18.0,3.0,7.0
Tulband met anijs en banaan,243.0,29.0,0.0,141.0,5.0,28.0,7.0,1.0
Tuna melt potatoskins,265.0,26.0,0.0,360.0,20.0,8.0,3.0,5.0
Tuna melt tosti,470.0,30.0,0.0,1000.0,27.0,26.0,9.0,3.0
Tuna melt-bitterballen,150.0,8.0,1.0,160.0,5.0,11.0,4.0,0.0
Tuna-meltwraps met spitskool en appel,730.0,57.0,0.0,1000.0,32.0,40.0,9.0,7.0
Tunamelt-wraps,590.0,45.0,0.0,1160.0,36.0,29.0,14.0,3.0
"Turks brood met auberginedip, olijf en komkommer",410.0,35.0,3.0,920.0,8.0,26.0,4.0,4.0
"Turks brood met feta, wortel en harissa",555.0,53.0,9.0,1320.0,23.0,27.0,15.0,4.0
Turkse gepocheerde eieren met knoflookyoghurt (Çilbir),570.0,54.0,7.0,320.0,21.0,29.0,17.0,6.0
Turkse pilav met groenten,355.0,66.0,0.0,0.0,9.0,6.0,0.0,0.0
Turkse pizza met puntpaprika,615.0,59.0,0.0,1240.0,22.0,31.0,8.0,6.0
Turkse yoghurt met krokante muesli en geraspte appel ,415.0,43.0,24.0,80.0,10.0,21.0,10.0,7.0
Twee-ingrediënten-brownies met nutella,200.0,19.0,0.0,45.0,4.0,12.0,4.0,0.0
Twee-kleuren-fruitsmoothie,160.0,33.0,0.0,0.0,3.0,0.0,0.0,5.0
Tweekleurenpaprikasoep,205.0,21.0,0.0,980.0,7.0,8.0,1.0,8.0
Tzatziki basisrecept,260.0,6.0,6.0,200.0,7.0,23.0,11.0,1.0
Tzatziki met dille,55.0,4.0,0.0,20.0,3.0,3.0,2.0,1.0
Ube cupcakes,350.0,43.0,0.0,240.0,6.0,17.0,11.0,1.0
Ube-icecream,215.0,26.0,0.0,40.0,2.0,11.0,8.0,3.0
Udon noedelsoep met zalm en groenten,505.0,43.0,0.0,1560.0,30.0,23.0,4.0,4.0
Udonnoedels met edamame,455.0,62.0,0.0,750.0,22.0,12.0,3.0,8.0
Ui-prei-kapucijneromelet met bonenkruid,270.0,12.0,0.0,360.0,17.0,16.0,5.0,6.0
Uien karamelliseren,130.0,8.0,6.0,0.0,1.0,10.0,2.0,3.0
Uienbloemen met kabeljauw,730.0,70.0,26.0,840.0,35.0,32.0,9.0,11.0
Uienpizza met makreel,585.0,55.0,0.0,1160.0,20.0,31.0,6.0,5.0
Uiensoep met gegratineerde ciabatta,600.0,46.0,0.0,7655.0,32.0,30.0,6.0,9.0
Uiensoep met tortellini,570.0,56.0,0.0,1755.0,17.0,29.0,14.0,7.0
Uiensoeptosti,425.0,29.0,9.0,880.0,16.0,26.0,15.0,6.0
Uienstamppot met rookworst,870.0,78.0,0.0,0.0,23.0,49.0,0.0,0.0
Ultieme cheeseburger,590.0,42.0,0.0,1240.0,38.0,29.0,11.0,4.0
Ultieme eenpersoons hamburger,950.0,32.0,0.0,1320.0,53.0,67.0,21.0,3.0
Ultieme kaasbroodjes,325.0,21.0,2.0,480.0,9.0,22.0,13.0,1.0
Umamibomkom van Yvette van Boven,790.0,108.0,25.0,2800.0,23.0,26.0,5.0,15.0
Unicorn-cheesecake,375.0,22.0,0.0,20.0,4.0,30.0,17.0,1.0
Unicorntaart,1115.0,127.0,63.0,280.0,7.0,64.0,41.0,1.0
Urumaki sushi (inside out roll),90.0,18.0,0.0,90.0,3.0,1.0,0.0,0.0
Vanille milkshake,330.0,42.0,42.0,120.0,7.0,15.0,9.0,0.0
Vanille-cupcakes,165.0,19.0,0.0,75.0,2.0,9.0,6.0,0.0
Vanille-gember­koekjes,190.0,22.0,0.0,0.0,2.0,10.0,0.0,0.0
Vanille-ijs met gedroogde aardbeien,300.0,33.0,0.0,75.0,6.0,16.0,5.0,2.0
Vanille-ijs met zoute-karamelsaus,390.0,54.0,0.0,310.0,5.0,17.0,13.0,0.0
Vanille-ijstopping kokos-gember,60.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0
Vanille-ijstopping praline,105.0,17.0,0.0,0.0,1.0,4.0,0.0,0.0
Vanillekruidnoten,205.0,30.0,0.0,0.0,2.0,8.0,0.0,0.0
Varkensbraadstuk met appelparten,440.0,41.0,0.0,141.0,31.0,16.0,9.0,6.0
Varkensfilet in peper-citroenkorst met pastinaak en peen ,545.0,54.0,0.0,956.0,35.0,19.0,4.0,9.0
Varkensfiletlapjes met penne en spinazie,795.0,59.0,0.0,840.0,58.0,34.0,10.0,9.0
Varkensfiletreepjes met kerriebloemkool en knolselderijpuree,415.0,31.0,7.0,200.0,32.0,15.0,3.0,14.0
Varkensfiletrollade met pruimen en spek,310.0,8.0,0.0,620.0,31.0,17.0,5.0,1.0
Varkenshaas bakken,165.0,0.0,0.0,120.0,30.0,5.0,3.0,0.0
Varkenshaas champignon-roomsaus,345.0,5.0,3.0,440.0,36.0,20.0,13.0,1.0
Varkenshaas met appel-gembersaus ,405.0,51.0,0.0,300.0,22.0,11.0,2.0,7.0
Varkenshaas met bloemkool &amp; krieltjes,570.0,76.0,0.0,840.0,26.0,15.0,6.0,12.0
"Varkenshaas met frites, aioli en komkommersalsa",640.0,49.0,0.0,560.0,37.0,31.0,5.0,7.0
Varkenshaas met knoflookmayo &amp; geroosterde wintergroente,755.0,64.0,0.0,200.0,38.0,36.0,5.0,13.0
Varkenshaas met kriekenbiersaus,420.0,33.0,0.0,365.0,30.0,17.0,11.0,2.0
Varkenshaas met paddenstoelen,420.0,5.0,0.0,305.0,37.0,27.0,12.0,2.0
Varkenshaas met paddenstoelen-roomsaus,380.0,7.0,0.0,600.0,32.0,24.0,15.0,3.0
Varkenshaas met rijst en mango,475.0,50.0,0.0,270.0,38.0,11.0,3.0,10.0
Varkenshaas met witlof-druivensalade,495.0,47.0,0.0,735.0,23.0,22.0,4.0,7.0
"Varkenshaas, roergebakken champignons en puree met cranberrysaus  ",540.0,45.0,10.0,360.0,38.0,22.0,9.0,5.0
Varkenshaas-appelspiesjes,230.0,8.0,0.0,0.0,24.0,11.0,0.0,0.0
Varkenshaassaltimbocca met aardappelen &amp; snijbonen,690.0,63.0,0.0,720.0,45.0,25.0,10.0,17.0
Varkenshaasspies met rabarbersalsa,250.0,19.0,0.0,680.0,24.0,24.0,8.0,2.0
Varkenshaasspiesjes met honing-sojaglaze,390.0,36.0,32.0,1440.0,37.0,10.0,4.0,5.0
Varkenshaas­spiesen met bosui,430.0,12.0,0.0,0.0,29.0,29.0,0.0,0.0
Varkensreepjes met Thaise groente,565.0,55.0,0.0,0.0,39.0,20.0,0.0,0.0
"Varkensrollade met spek, vijgen en balsamico-uitjes",360.0,20.0,0.0,755.0,28.0,18.0,5.0,3.0
Varkensrollade met uiensaus,460.0,12.0,0.0,0.0,36.0,29.0,0.0,0.0
Vega Scotch eggs,190.0,6.0,0.0,200.0,9.0,14.0,3.0,0.0
Vega Wellington,430.0,51.0,8.0,320.0,11.0,19.0,10.0,6.0
Vega aardappelcurry met boontjes en roti,880.0,95.0,7.0,1280.0,24.0,42.0,7.0,13.0
Vega arepas met bonen en salsa,735.0,87.0,0.0,1010.0,25.0,28.0,12.0,17.0
Vega burger met geroosterde wintergroenten,675.0,82.0,16.0,1080.0,29.0,22.0,3.0,17.0
Vega kiproerbak met groene groenten en rijst,520.0,50.0,2.0,840.0,24.0,22.0,3.0,13.0
Vega lasagne bolognese,830.0,74.0,21.0,800.0,48.0,35.0,12.0,14.0
Vega nuggets,505.0,35.0,4.0,760.0,22.0,30.0,6.0,3.0
Vega poké bowl,810.0,87.0,34.0,760.0,21.0,39.0,5.0,13.0
Vega sushi maki,395.0,60.0,7.0,1880.0,9.0,12.0,2.0,4.0
Vega teriyaki-kip met spinazie &amp; rijst ,615.0,68.0,10.0,1200.0,31.0,22.0,3.0,9.0
Vega tjaptjoi,715.0,80.0,0.0,0.0,33.0,28.0,0.0,0.0
Vega vissticks met aardappel-erwtenpuree &amp; gestoofde prei,675.0,70.0,0.0,360.0,16.0,33.0,10.0,17.0
Vega worst-groentenspiesjes,360.0,5.0,3.0,560.0,13.0,31.0,4.0,5.0
Vega-bonensoep,420.0,40.0,0.0,0.0,19.0,17.0,0.0,0.0
Vegabami speciaal,805.0,113.0,0.0,0.0,34.0,33.0,0.0,0.0
Vegabolognese met kastanjechampignons,245.0,16.0,0.0,245.0,7.0,16.0,2.0,4.0
"Vegabolognese met kastanjechampignons, gnocchi &amp; mozzarella",835.0,90.0,0.0,1360.0,29.0,35.0,7.0,19.0
Vegabowl met geroosterde boerenkool en gepocheerd ei,745.0,56.0,7.0,760.0,25.0,44.0,6.0,13.0
Vegaburger met sesammayonaise en komkommer,425.0,38.0,0.0,680.0,21.0,20.0,3.0,5.0
Vegaburger met zoete frieten,785.0,89.0,0.0,0.0,26.0,33.0,0.0,0.0
Vegaburger met zoete-aardappelfriet &amp; rauwkostsalade,1055.0,121.0,0.0,1240.0,35.0,44.0,8.0,16.0
Vegakroketten van pulled jackfruit,215.0,13.0,0.0,240.0,4.0,16.0,6.0,2.0
Vegan Bánh mì ,570.0,48.0,0.0,760.0,19.0,32.0,3.0,7.0
Vegan appelflappen,335.0,42.0,16.0,240.0,5.0,16.0,7.0,2.0
Vegan bananenbrood,315.0,37.0,18.0,280.0,6.0,15.0,9.0,4.0
Vegan bladerdeeghapjes,105.0,12.0,1.0,160.0,2.0,5.0,2.0,2.0
Vegan broodje pulled sweet potato,545.0,72.0,0.0,880.0,9.0,9.0,23.0,8.0
Vegan brownies,150.0,13.0,0.0,120.0,3.0,9.0,2.0,3.0
Vegan cake,195.0,28.0,17.0,240.0,2.0,8.0,7.0,1.0
Vegan carrotcake,410.0,34.0,18.0,240.0,8.0,26.0,6.0,4.0
Vegan chocolademousse,365.0,47.0,46.0,240.0,4.0,17.0,11.0,5.0
Vegan citroentaart met meringue,445.0,56.0,36.0,40.0,5.0,22.0,10.0,2.0
Vegan clubsandwich met groentespread &amp; rauwkost,490.0,48.0,6.0,560.0,19.0,24.0,3.0,8.0
"Vegan curry met aardappel, boerenkool en kokosmelk",875.0,68.0,7.0,600.0,16.0,56.0,36.0,16.0
Vegan curry van gestoofde groenten met naan,885.0,101.0,23.0,1160.0,26.0,36.0,14.0,25.0
Vegan hot chocolate,155.0,22.0,21.0,80.0,2.0,6.0,3.0,3.0
Vegan kapsalon,660.0,50.0,5.0,840.0,20.0,40.0,12.0,11.0
Vegan kebab van tofu en tempeh,650.0,33.0,0.0,760.0,30.0,42.0,6.0,10.0
Vegan loaded fries Japanse stijl,580.0,54.0,0.0,840.0,17.0,31.0,6.0,9.0
Vegan mac &amp; cheese,685.0,81.0,9.0,640.0,16.0,31.0,8.0,8.0
"Vegan mealprep met pulled oats, zoete aardappel en pittige tomatensaus",300.0,37.0,10.0,400.0,12.0,10.0,2.0,6.0
Vegan meatloaf ,255.0,27.0,0.0,240.0,11.0,9.0,3.0,11.0
Vegan meringuetaart met amandel en bramen,330.0,38.0,25.0,80.0,3.0,18.0,15.0,2.0
Vegan moussaka,505.0,57.0,16.0,240.0,12.0,23.0,9.0,11.0
Vegan nachos uit de oven met tomatensalsa ,225.0,26.0,0.0,200.0,4.0,11.0,1.0,3.0
Vegan notenkaas van cashewnoten,120.0,5.0,1.0,80.0,4.0,9.0,2.0,1.0
Vegan oliebollen,210.0,34.0,9.0,80.0,4.0,6.0,1.0,2.0
Vegan pancakes met spek en ahornsiroop,455.0,64.0,25.0,760.0,10.0,17.0,2.0,4.0
Vegan pannenkoeken,195.0,27.0,0.0,400.0,3.0,8.0,1.0,1.0
Vegan pasta,640.0,70.0,9.0,240.0,19.0,30.0,4.0,8.0
