recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Appelcrumble,385.0,46.0,33.0,40.0,5.0,19.0,8.0,4.0
Appelflappen,240.0,35.0,17.0,240.0,4.0,9.0,6.0,2.0
Appelflappen met cranberry’s en pecannoten,285.0,33.0,0.0,195.0,4.0,15.0,8.0,2.0
Appelflappen met sinaasappelmarmelade,235.0,27.0,0.0,200.0,4.0,12.0,8.0,1.0
Appelgalette,315.0,47.0,0.0,80.0,6.0,11.0,5.0,3.0
Appeljachtschotel,605.0,48.0,0.0,280.0,32.0,30.0,15.0,8.0
Appelkruimelcake,460.0,49.0,0.0,75.0,6.0,26.0,14.0,2.0
Appelkruimeltaart,435.0,61.0,32.0,120.0,6.0,18.0,12.0,3.0
Appelkruimeltaartjes met blauwe bessen,80.0,11.0,5.0,80.0,2.0,3.0,1.0,2.0
Appelmoes,125.0,29.0,0.0,2.0,1.0,0.0,0.0,3.0
Appelmoes met sinaasappel en gember,175.0,41.0,0.0,0.0,1.0,0.0,0.0,3.0
Appelmoes-koekcrumble,360.0,39.0,0.0,105.0,15.0,16.0,10.0,2.0
Appelmoes-ontbijtcake met havermout ,195.0,22.0,0.0,120.0,5.0,9.0,1.0,3.0
Appelplaattaart,755.0,74.0,0.0,85.0,12.0,45.0,19.0,5.0
Appelringpannenkoeken,180.0,18.0,9.0,200.0,2.0,11.0,6.0,1.0
Appelrozen,175.0,19.0,0.0,90.0,2.0,10.0,4.0,1.0
Appelschillenboter,570.0,133.0,125.0,0.0,1.0,1.0,0.0,12.0
Appelscones,180.0,24.0,0.0,200.0,3.0,8.0,5.0,1.0
Appeltaart,565.0,77.0,0.0,245.0,6.0,25.0,14.0,3.0
Appeltaart met havermout en cranberry’s,260.0,35.0,0.0,130.0,2.0,12.0,10.0,3.0
Appeltaart van Rutger Bakt,520.0,71.0,0.0,160.0,6.0,23.0,14.0,3.0
Appeltaartdeeg basisrecept,405.0,49.0,0.0,235.0,5.0,21.0,13.0,1.0
Appeltaarthavermout met yoghurt,395.0,73.0,37.0,40.0,12.0,4.0,1.0,9.0
Appeltaarttosti van Leonie ter Veld,400.0,46.0,0.0,280.0,7.0,20.0,11.0,4.0
Arabisch gekruide kip met ovengroenten,490.0,26.0,0.0,200.0,43.0,21.0,4.0,13.0
Arancini met mozzarella (risottoballetjes),160.0,14.0,0.0,280.0,5.0,9.0,4.0,0.0
Arepa's met gehakt en kaas,745.0,61.0,3.0,440.0,36.0,39.0,13.0,4.0
