,ingredient,group
405,"Italiaanse roerbakgroente paprika, broccoli",2
406,Italiaanse roerbakgroente venkel-asperge,2
407,Italiaanse roerbakmix,2
408,Italiaanse roerbakmix cavolo nero,2
409,Italiaanse wokgroente,2
410,Italian flakes kaas,2
411,Jamaican jerk specerijenmengeling,2
412,Japans broodkruim panko,2
413,Japanse mayonaise,2
414,Japanse sobanoedels,2
415,Japanse sojasaus,2
416,Japanse teriyakisaus,2
417,Japanse wokgroente,2
418,Japanse wokgroente kastanjechampignons &amp; peulen,2
419,Japanse wokgroente sojabonen en paksoi,2
420,Jazz appel,2
421,Jean Baton vegan mayonaise,2
422,Jean Bâton vegan mayo,2
423,Johma gevuld eitjesalade,2
424,Johma kip-mangosalade,2
425,Juanita cherrytomaat aan de tak,2
426,Junami-appel,2
427,Kaapse goudbes,2
428,Kahlua koffielikeur,2
429,Kalamata-olijven,2
430,Kalamata-olijven zonder pit,2
431,Kanzi appel,2
432,Karvan Cévitam blends limoen &amp; munt,2
433,Kerrygold ongezouten roomboter,2
434,Kesbeke Amsterdamse hamburgerplakjes,2
435,Kesbeke Kleintje Amsterdamse piccalilly,2
436,Kesbeke augurkenblokjes,2
437,Kesbeke natriumarme augurk,2
438,Ketoembar gemalen koriander,2
439,Kikkoman sojasaus,2
440,King rijstolie,2
441,Knorr biologisch groentebouillontablet,2
442,Knorr groentebouillonblokje zero salt,2
443,Knorr groentebouillontablet,2
444,Knorr groentesaus,2
445,Knorr mix voor jus met uitjes,2
446,Knorr wereldgerecht burritos,2
447,Koh Thai fish sauce,2
448,Koh Thai panang currypasta,2
449,Koh Thai red curry paste,2
450,Koopmans hartige taartdeeg,2
451,Koopmans omgekeerde appeltaart,2
452,Kruidenmix tex mex,2
453,Kühne mierikswortel in pot,2
454,La Chinata gerookte paprikapoeder,2
455,La Chinata gerookte paprikapoeder hot,2
456,La Morena Mexican green salsa,2
457,La Morena bayo beans with chipotle &amp; adobo in blik,2
458,La Morena black beans refried in blik,2
459,La Morena chipotlesaus,2
460,La Morena diced chipotle pepper,2
461,La Morena homemade salsa in pot,2
462,La Morena maistortillawraps,2
463,La Morena volkorentortilla's,2
464,La Trappe Quadrupel,2
465,Lacroix kalfsfond,2
466,Langnese Bee Easy biologische bloemenhoning,2
467,Lassie halfvolkorenrijst,2
468,Lee Kum Lee chiu chow chili-olie,2
469,Leffe bruin,2
470,Leksands knackebrodcrackers original,2
471,Libanees volkoren brood,2
472,Libanese wrap,2
