Unnamed: 0,title,persons,time,calories,stars,url,image
0,Quinoasalade met groene asperges en witte kaas,4,15,625,0,https://www.ah.nl/allerhande/recept/R-R1195338/quinoasalade-met-groene-asperges-en-witte-kaas,https://static.ah.nl/static/recepten/img_RAM_PRD149268_1024x748_JPG.jpg
0,Geroosterde aubergine met miso en rijst,4,10,570,0,https://www.ah.nl/allerhande/recept/R-R1195336/geroosterde-aubergine-met-miso-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD149237_1024x748_JPG.jpg
0,Pastasalade pesto met burrata ,4,15,610,0,https://www.ah.nl/allerhande/recept/R-R1195334/pastasalade-pesto-met-burrata,https://static.ah.nl/static/recepten/img_RAM_PRD149264_1024x748_JPG.jpg
0,Orzosalade met olijf en prosciutto,4,15,590,0,https://www.ah.nl/allerhande/recept/R-R1195333/orzosalade-met-olijf-en-prosciutto,https://static.ah.nl/static/recepten/img_RAM_PRD149260_1024x748_JPG.jpg
0,"Turks brood met feta, wortel en harissa",4,15,555,0,https://www.ah.nl/allerhande/recept/R-R1195320/turks-brood-met-feta-wortel-en-harissa,https://static.ah.nl/static/recepten/img_RAM_PRD149284_1024x748_JPG.jpg
0,"Dikke speltsandwich met kip, avocado en spinaziedressing",4,20,715,0,https://www.ah.nl/allerhande/recept/R-R1195318/dikke-speltsandwich-met-kip-avocado-en-spinaziedressing,https://static.ah.nl/static/recepten/img_RAM_PRD149229_1024x748_JPG.jpg
0,Katsu sando,2,20,725,0,https://www.ah.nl/allerhande/recept/R-R1195304/katsu-sando,https://static.ah.nl/static/recepten/img_RAM_PRD149297_1024x748_JPG.jpg
0,Broodje carpaccio,2,10,605,0,https://www.ah.nl/allerhande/recept/R-R1195300/broodje-carpaccio,https://static.ah.nl/static/recepten/img_RAM_PRD149300_1024x748_JPG.jpg
0,Gegratineerde orzo met champignons en broccolirijst,4,25,650,0,https://www.ah.nl/allerhande/recept/R-R1195298/gegratineerde-orzo-met-champignons-en-broccolirijst,https://static.ah.nl/static/recepten/img_RAM_PRD149301_1024x748_JPG.jpg
0,Orzo met spinazie en kruiden,4,15,825,0,https://www.ah.nl/allerhande/recept/R-R1195297/orzo-met-spinazie-en-kruiden,https://static.ah.nl/static/recepten/img_RAM_PRD149302_1024x748_JPG.jpg
0,Pita vegan shoarma met srirachamayo,4,15,560,0,https://www.ah.nl/allerhande/recept/R-R1195291/pita-vegan-shoarma-met-srirachamayo,https://static.ah.nl/static/recepten/img_RAM_PRD148816_1024x748_JPG.jpg
0,Couscoussalade met courgette en witte kaas,4,25,635,0,https://www.ah.nl/allerhande/recept/R-R1195288/couscoussalade-met-courgette-en-witte-kaas,https://static.ah.nl/static/recepten/img_RAM_PRD148812_1024x748_JPG.jpg
